theta1,theta2
0.53438,2.0652
0.52642,2.0803
0.51898,2.0952
0.51207,2.11
0.50572,2.1246
0.49996,2.139
0.49482,2.1531
0.49032,2.1671
0.48649,2.1807
0.48335,2.1941
0.48094,2.2072
0.47928,2.2199
0.47839,2.2323
0.47831,2.2444
0.47904,2.256
0.48062,2.2673
0.48307,2.2781
0.48639,2.2884
0.49061,2.2983
0.49575,2.3076
0.5018,2.3164
0.50877,2.3247
0.51666,2.3324
0.52548,2.3395
0.5352,2.346
0.54583,2.3519
0.55733,2.3571
0.56969,2.3616
0.58288,2.3655
0.59686,2.3687
0.61159,2.3712
0.62702,2.3729
0.64312,2.374
0.65982,2.3743
0.67707,2.3739
0.69481,2.3728
0.71297,2.3709
0.73151,2.3684
0.75034,2.3652
0.76941,2.3612
0.78866,2.3566
0.80803,2.3513
0.82744,2.3454
0.84686,2.3389
0.86623,2.3317
0.88548,2.3239
0.90459,2.3156
0.9235,2.3067
0.94217,2.2973
0.96058,2.2874
0.97868,2.277
0.99646,2.2662
1.0139,2.2549
1.0309,2.2432
1.0476,2.2311
1.0638,2.2187
1.0797,2.2059
1.0951,2.1928
1.1101,2.1794
1.1246,2.1657
1.1387,2.1518
1.1524,2.1376
1.1656,2.1232
1.1784,2.1086
1.1907,2.0938
1.2026,2.0788
1.2141,2.0637
1.2251,2.0485
1.2358,2.0332
1.246,2.0178
1.2558,2.0022
1.2652,1.9867
1.2742,1.971
1.2828,1.9554
1.2911,1.9397
1.2989,1.924
1.3064,1.9083
1.3135,1.8927
1.3203,1.877
1.3267,1.8614
1.3328,1.8459
1.3385,1.8305
1.3439,1.8151
1.3489,1.7998
1.3536,1.7847
1.358,1.7697
1.362,1.7548
1.3658,1.74
1.3692,1.7254
1.3723,1.711
1.3751,1.6968
1.3775,1.6827
1.3797,1.6689
1.3816,1.6553
1.3831,1.6419
1.3844,1.6288
1.3853,1.6159
1.3859,1.6033
1.3863,1.591
1.3863,1.579
1.386,1.5672
1.3855,1.5558
1.3846,1.5447
1.3834,1.534
1.3819,1.5236
1.3801,1.5136
1.3781,1.5039
1.3757,1.4946
1.373,1.4857
1.37,1.4772
1.3667,1.4692
1.363,1.4615
1.3591,1.4543
1.3549,1.4475
1.3503,1.4412
1.3455,1.4353
1.3403,1.4299
1.3349,1.4249
1.3291,1.4205
1.3231,1.4165
1.3167,1.413
1.31,1.41
1.303,1.4075
1.2957,1.4055
1.2882,1.404
1.2803,1.403
1.2721,1.4025
1.2637,1.4025
1.2549,1.4031
1.2459,1.4041
1.2366,1.4057
1.227,1.4077
1.2172,1.4103
1.2071,1.4133
1.1968,1.4168
1.1862,1.4209
1.1753,1.4254
1.1642,1.4304
1.1529,1.4358
1.1414,1.4418
1.1296,1.4481
1.1176,1.455
1.1055,1.4622
1.0931,1.4699
1.0806,1.478
1.0679,1.4866
1.055,1.4955
1.042,1.5048
1.0289,1.5145
1.0156,1.5246
1.0021,1.535
0.98862,1.5458
0.97499,1.5569
0.96126,1.5684
0.94746,1.5801
0.93359,1.5922
0.91966,1.6045
0.90569,1.6172
0.89168,1.6301
0.87765,1.6432
0.86361,1.6566
0.84957,1.6703
0.83555,1.6841
0.82156,1.6982
0.80762,1.7124
0.79373,1.7268
0.7799,1.7414
0.76617,1.7562
0.75253,1.7711
0.739,1.7862
0.7256,1.8013
0.71235,1.8166
0.69926,1.832
0.68634,1.8474
0.67362,1.863
0.6611,1.8786
0.64882,1.8942
0.63678,1.9099
0.62501,1.9255
0.61352,1.9412
0.60234,1.9569
0.59148,1.9726
0.58097,1.9882
0.57082,2.0038
0.56107,2.0193
0.55173,2.0347
0.54282,2.05
0.53438,2.0652
