theta1,theta2,t
0.8156800000000001,1.9915,72.9
0.81619,1.99,72.92
0.81672,1.9886,72.94
0.81725,1.9871,72.96000000000001
0.81781,1.9856,72.98
0.81838,1.9842,73.0
0.81896,1.9827,73.02
0.8195600000000001,1.9812,73.04
0.8201700000000001,1.9797,73.06
0.8208,1.9782,73.08
0.82145,1.9767,73.10000000000001
0.8221,1.9752,73.12
0.82278,1.9737,73.14
0.8234600000000001,1.9721,73.16
0.82416,1.9706,73.18
0.82488,1.9691,73.2
0.8256,1.9676,73.22
0.82635,1.966,73.24
0.8271,1.9645,73.26
0.8278700000000001,1.9629,73.28
0.82865,1.9614,73.3
0.82945,1.9598,73.32000000000001
0.83026,1.9583,73.34
0.8310799999999999,1.9567,73.36
0.8319200000000001,1.9552,73.38
0.8327600000000001,1.9536,73.4
0.83362,1.9521,73.42
0.8345,1.9505,73.44
0.8353799999999999,1.9489,73.46000000000001
0.8362799999999999,1.9474,73.48
0.83719,1.9458,73.5
0.83811,1.9442,73.52
0.83905,1.9426,73.54
0.83999,1.9411,73.56
0.84095,1.9395,73.58
0.8419200000000001,1.9379,73.60000000000001
0.8429,1.9363,73.62
0.8438899999999999,1.9348,73.64
0.8448899999999999,1.9332,73.66
0.84591,1.9316,73.68
0.84693,1.93,73.7
0.8479700000000001,1.9284,73.72
0.8490200000000001,1.9269,73.74
0.8500700000000001,1.9253,73.76
0.85114,1.9237,73.78
0.8522200000000001,1.9221,73.8
0.8533,1.9205,73.82000000000001
0.8544,1.919,73.84
0.85551,1.9174,73.86
0.85662,1.9158,73.88
0.85775,1.9142,73.9
0.85888,1.9127,73.92
0.86003,1.9111,73.94
0.86118,1.9095,73.96000000000001
0.86234,1.9080000000000001,73.98
0.86351,1.9064,74.0
0.86469,1.9048,74.02
0.8658799999999999,1.9033,74.04
0.86708,1.9017,74.06
0.8682799999999999,1.9002,74.08
0.86949,1.8986,74.10000000000001
0.87072,1.8971,74.12
0.8719399999999999,1.8955,74.14
0.87318,1.8940000000000001,74.16
0.8744200000000001,1.8924,74.18
0.8756700000000001,1.8909,74.2
0.8769299999999999,1.8894,74.22
0.8782,1.8878,74.24
0.8794700000000001,1.8863,74.26
0.88075,1.8848,74.28
0.88203,1.8833,74.3
0.8833200000000001,1.8818,74.32000000000001
0.8846200000000001,1.8803,74.34
0.8859299999999999,1.8788,74.36
0.8872399999999999,1.8773,74.38
0.88855,1.8758,74.4
0.88987,1.8743,74.42
0.8912,1.8728,74.44
0.8925299999999999,1.8713,74.46000000000001
0.89387,1.8699,74.48
0.8952200000000001,1.8684,74.5
0.89656,1.8669,74.52
0.89792,1.8655,74.54
0.8992700000000001,1.864,74.56
0.90064,1.8626,74.58
0.902,1.8611,74.60000000000001
0.90338,1.8597,74.62
0.90475,1.8583,74.64
0.9061299999999999,1.8569,74.66
0.90751,1.8555,74.68
0.9089,1.8541,74.7
0.9102899999999999,1.8527,74.72
0.91169,1.8513,74.74
0.9130799999999999,1.8499,74.76
0.91448,1.8485,74.78
0.91589,1.8472,74.8
0.9172899999999999,1.8458,74.82000000000001
0.9187,1.8445,74.84
0.92012,1.8431,74.86
0.92153,1.8418,74.88
0.92295,1.8405,74.9
0.92437,1.8392,74.92
0.92579,1.8379,74.94
0.9272100000000001,1.8366,74.96000000000001
0.92863,1.8353,74.98
0.93006,1.834,75.0
0.9314899999999999,1.8327,75.02
0.9329200000000001,1.8314,75.04
0.93435,1.8302,75.06
0.93578,1.829,75.08
0.93721,1.8277,75.10000000000001
0.93865,1.8265,75.12
0.9400799999999999,1.8253,75.14
0.9415100000000001,1.8241,75.16
0.94295,1.8229,75.18
0.9443799999999999,1.8217,75.2
0.9458200000000001,1.8205,75.22
0.94726,1.8193,75.24
0.9486899999999999,1.8182,75.26
0.9501299999999999,1.817,75.28
0.9515600000000001,1.8159,75.3
0.953,1.8148,75.32000000000001
0.9544299999999999,1.8137,75.34
0.95586,1.8126,75.36
0.9573,1.8115,75.38
0.95873,1.8104,75.4
0.96016,1.8093,75.42
0.96159,1.8083,75.44
0.96301,1.8072,75.46000000000001
0.96444,1.8062,75.48
0.96586,1.8052,75.5
0.96729,1.8042,75.52
0.9687100000000001,1.8032,75.54
0.9701200000000001,1.8022,75.56
0.97154,1.8012,75.58
0.97296,1.8002,75.60000000000001
0.9743700000000001,1.7993,75.62
0.97578,1.7983,75.64
0.9771799999999999,1.7974,75.66
0.97859,1.7965,75.68
0.9799899999999999,1.7956,75.7
0.98139,1.7947,75.72
0.9827799999999999,1.7938,75.74
0.9841700000000001,1.7929,75.76
0.98556,1.7921,75.78
0.98695,1.7912,75.8
0.9883299999999999,1.7904,75.82000000000001
0.9897100000000001,1.7896,75.84
0.99108,1.7888,75.86
0.99245,1.788,75.88
0.99382,1.7872,75.9
0.99518,1.7865,75.92
0.99654,1.7857,75.94
0.9978899999999999,1.785,75.96000000000001
0.99924,1.7843,75.98
1.0006,1.7836,76.0
1.0019,1.7829,76.02
1.0033,1.7822,76.04
1.0046,1.7815,76.06
1.0059,1.7809,76.08
1.0072,1.7802,76.10000000000001
1.0086,1.7796,76.12
1.0099,1.7790000000000001,76.14
1.0112,1.7784,76.16
1.0125,1.7778,76.18
1.0138,1.7772,76.2
1.015,1.7767,76.22
1.0163,1.7761,76.24
1.0176,1.7756,76.26
1.0189,1.7751,76.28
1.0201,1.7746,76.3
1.0214,1.7741,76.32000000000001
1.0227,1.7736,76.34
1.0239,1.7732,76.36
1.0251,1.7727,76.38
1.0264,1.7723,76.4
1.0276,1.7719,76.42
1.0288,1.7715,76.44
1.03,1.7711,76.46000000000001
1.0312,1.7708,76.48
1.0324,1.7704,76.5
1.0336,1.7701,76.52
1.0348,1.7697,76.54
1.036,1.7694,76.56
1.0371,1.7691,76.58
1.0383,1.7689,76.60000000000001
1.0395,1.7686,76.62
1.0406,1.7684,76.64
1.0417,1.7681,76.66
1.0429,1.7679,76.68
1.044,1.7677,76.7
1.0451,1.7675,76.72
1.0462,1.7673,76.74
1.0473,1.7672,76.76
1.0484,1.767,76.78
1.0495,1.7669,76.8
1.0506,1.7668,76.82000000000001
1.0516,1.7667,76.84
1.0527,1.7666,76.86
1.0537,1.7665,76.88
1.0548,1.7665,76.9
1.0558,1.7664,76.92
1.0568,1.7664,76.94
1.0578,1.7664,76.96000000000001
1.0588,1.7664,76.98
1.0598,1.7664,77.0
1.0608,1.7665,77.02
1.0618,1.7665,77.04
1.0628,1.7666,77.06
1.0637,1.7667,77.08
1.0647,1.7668,77.10000000000001
1.0656,1.7669,77.12
1.0665,1.767,77.14
1.0674,1.7672,77.16
1.0684,1.7673,77.18
1.0693,1.7675,77.2
1.0701,1.7677,77.22
1.071,1.7679,77.24
1.0719,1.7681,77.26
1.0728,1.7683,77.28
1.0736,1.7686,77.3
1.0744,1.7689,77.32000000000001
1.0753,1.7691,77.34
1.0761,1.7694,77.36
1.0769,1.7697,77.38
1.0777,1.7701,77.4
1.0785,1.7704,77.42
1.0793,1.7708,77.44
1.08,1.7711,77.46000000000001
1.0808,1.7715,77.48
1.0815,1.7719,77.5
1.0823,1.7723,77.52
1.083,1.7727,77.54
1.0837,1.7732,77.56
1.0844,1.7736,77.58
1.0851,1.7741,77.60000000000001
1.0858,1.7746,77.62
1.0865,1.7751,77.64
1.0871,1.7756,77.66
1.0878,1.7761,77.68
1.0884,1.7767,77.7
1.089,1.7772,77.72
1.0896,1.7778,77.74
1.0902,1.7784,77.76
1.0908,1.7790000000000001,77.78
1.0914,1.7796,77.8
1.092,1.7802,77.82000000000001
1.0925,1.7808,77.84
1.0931,1.7815,77.86
1.0936,1.7822,77.88
1.0941,1.7828,77.9
1.0947,1.7835,77.92
1.0952,1.7842,77.94
1.0956,1.785,77.96000000000001
1.0961,1.7857,77.98
1.0966,1.7865,78.0
1.097,1.7872,78.02
1.0975,1.788,78.04
1.0979,1.7888,78.06
1.0983,1.7896,78.08
1.0987,1.7904,78.10000000000001
1.0991,1.7912,78.12
1.0995,1.7921,78.14
1.0999,1.7929,78.16
1.1002,1.7938,78.18
1.1006,1.7947,78.2
1.1009,1.7955,78.22
1.1012,1.7965,78.24
1.1015,1.7974,78.26
1.1018,1.7983,78.28
1.1021,1.7992,78.3
1.1024,1.8002,78.32000000000001
1.1027,1.8012,78.34
1.1029,1.8021,78.36
1.1031,1.8031,78.38
1.1034,1.8041,78.4
1.1036,1.8051,78.42
1.1038,1.8062,78.44
1.1039,1.8072,78.46000000000001
1.1041,1.8082,78.48
1.1043,1.8093,78.5
1.1044,1.8104,78.52
1.1046,1.8114,78.54
1.1047,1.8125,78.56
1.1048,1.8136,78.58
1.1049,1.8147,78.60000000000001
1.105,1.8159,78.62
1.1051,1.817,78.64
1.1051,1.8181,78.66
1.1052,1.8193,78.68
1.1052,1.8205,78.7
1.1052,1.8216,78.72
1.1052,1.8228,78.74
1.1052,1.824,78.76
1.1052,1.8252,78.78
1.1052,1.8264,78.8
1.1051,1.8277,78.82000000000001
1.1051,1.8289,78.84
1.105,1.8302,78.86
1.1049,1.8314,78.88
1.1048,1.8327,78.9
1.1047,1.8339,78.92
1.1046,1.8352,78.94
1.1045,1.8365,78.96000000000001
1.1043,1.8378,78.98
1.1042,1.8391,79.0
1.104,1.8404,79.02
1.1038,1.8418,79.04
1.1036,1.8431,79.06
1.1034,1.8444,79.08
1.1032,1.8458,79.10000000000001
1.103,1.8471,79.12
1.1027,1.8485,79.14
1.1025,1.8499,79.16
1.1022,1.8512,79.18
1.1019,1.8526,79.2
1.1016,1.854,79.22
1.1013,1.8554,79.24
1.101,1.8568,79.26
1.1006,1.8583,79.28
1.1003,1.8597,79.3
1.0999,1.8611,79.32000000000001
1.0996,1.8625,79.34
1.0992,1.864,79.36
1.0988,1.8654,79.38
1.0984,1.8669,79.4
1.0979,1.8683,79.42
1.0975,1.8698,79.44
1.0971,1.8713,79.46000000000001
1.0966,1.8727,79.48
1.0961,1.8742,79.5
1.0956,1.8757,79.52
1.0951,1.8772,79.54
1.0946,1.8787,79.56
1.0941,1.8802,79.58
1.0936,1.8817,79.60000000000001
1.093,1.8832,79.62
1.0924,1.8847,79.64
1.0919,1.8863,79.66
1.0913,1.8878,79.68
1.0907,1.8893,79.7
1.0901,1.8908,79.72
1.0894,1.8924,79.74
1.0888,1.8939,79.76
1.0881,1.8955,79.78
1.0875,1.8969999999999998,79.8
1.0868,1.8986,79.82000000000001
1.0861,1.9001,79.84
1.0854,1.9017,79.86
1.0847,1.9032,79.88
1.084,1.9048,79.9
1.0832,1.9063,79.92
1.0825,1.9079,79.94
1.0817,1.9095,79.96000000000001
1.081,1.911,79.98
1.0802,1.9126,80.0
1.0794,1.9142,80.02
1.0786,1.9158,80.04
1.0778,1.9173,80.06
1.0769,1.9189,80.08
1.0761,1.9205,80.10000000000001
1.0752,1.9221,80.12
1.0744,1.9236,80.14
1.0735,1.9252,80.16
1.0726,1.9268,80.18
1.0717,1.9284,80.2
1.0708,1.93,80.22
1.0698,1.9315,80.24
1.0689,1.9331,80.26
1.068,1.9347,80.28
1.067,1.9363,80.3
1.0659999999999998,1.9379,80.32000000000001
1.065,1.9394,80.34
1.0641,1.9409999999999998,80.36
1.063,1.9426,80.38
1.062,1.9442,80.4
1.061,1.9457,80.42
1.06,1.9473,80.44
1.0589,1.9489,80.46000000000001
1.0579,1.9504,80.48
1.0568,1.952,80.5
1.0557,1.9536,80.52
1.0546,1.9551,80.54
1.0535,1.9567,80.56
1.0524,1.9582,80.58
1.0513,1.9598,80.60000000000001
1.0502,1.9613,80.62
1.0490000000000002,1.9629,80.64
1.0479,1.9644,80.66
1.0467,1.966,80.68
1.0455,1.9675,80.7
1.0443,1.969,80.72
1.0432,1.9706,80.74
1.042,1.9721,80.76
1.0407,1.9736,80.78
1.0395,1.9751,80.8
1.0383,1.9766,80.82000000000001
1.037,1.9781,80.84
1.0358,1.9796,80.86
1.0345,1.9811,80.88
1.0333,1.9826,80.9
1.032,1.9841,80.92
1.0307,1.9856,80.94
1.0294,1.9871,80.96000000000001
1.0281,1.9885,80.98
1.0268,1.99,81.0
1.0255,1.9914,81.02
1.0242,1.9929,81.04
1.0228,1.9943,81.06
1.0215,1.9958,81.08
1.0201,1.9972,81.10000000000001
1.0188,1.9986,81.12
1.0174,2.0,81.14
1.016,2.0014,81.16
1.0146,2.0028,81.18
1.0132,2.0042,81.2
1.0118,2.0056,81.22
1.0104,2.0069999999999997,81.24
1.0090000000000001,2.0084,81.26
1.0076,2.0097,81.28
1.0062,2.0111,81.3
1.0048,2.0124,81.32000000000001
1.0033,2.0138,81.34
1.0019,2.0151,81.36
1.0004,2.0164,81.38
0.9989600000000001,2.0177,81.4
0.99749,2.019,81.42
0.99603,2.0203,81.44
0.99455,2.0216,81.46000000000001
0.9930700000000001,2.0229,81.48
0.9915799999999999,2.0241,81.5
0.9900899999999999,2.0254,81.52
0.98859,2.0266,81.54
0.9870899999999999,2.0279,81.56
0.98559,2.0291,81.58
0.98408,2.0303,81.60000000000001
0.98256,2.0315,81.62
0.9810399999999999,2.0327,81.64
0.9795200000000001,2.0339,81.66
0.9779899999999999,2.035,81.68
0.97646,2.0362,81.7
0.9749200000000001,2.0373,81.72
0.9733799999999999,2.0385,81.74
0.9718399999999999,2.0396,81.76
0.97029,2.0407,81.78
0.9687399999999999,2.0418,81.8
0.96719,2.0429,81.82000000000001
0.9656399999999999,2.0439,81.84
0.9640799999999999,2.045,81.86
0.96252,2.0461,81.88
0.96096,2.0471,81.9
0.9594,2.0481,81.92
0.95783,2.0491,81.94
0.95626,2.0501,81.96000000000001
0.9547,2.0511,81.98
0.9531299999999999,2.0521,82.0
0.9515600000000001,2.0531,82.02
0.94999,2.0540000000000003,82.04
0.9484100000000001,2.0549,82.06
0.94684,2.0559,82.08
0.94527,2.0568,82.10000000000001
0.9436899999999999,2.0576,82.12
0.9421200000000001,2.0585,82.14
0.94055,2.0594,82.16
0.9389799999999999,2.0602,82.18
0.9374100000000001,2.0611,82.2
0.9358299999999999,2.0619,82.22
0.9342600000000001,2.0627,82.24
0.9327,2.0635,82.26
0.9311299999999999,2.0643,82.28
0.92956,2.065,82.3
0.9279999999999999,2.0658,82.32000000000001
0.9264399999999999,2.0665,82.34
0.9248799999999999,2.0672,82.36
0.92332,2.068,82.38
0.9217700000000001,2.0686,82.4
0.92022,2.0693,82.42
0.9186700000000001,2.07,82.44
0.91712,2.0706,82.46000000000001
0.91558,2.0712,82.48
0.91404,2.0719,82.5
0.91251,2.0725,82.52
0.9109799999999999,2.073,82.54
0.90945,2.0736,82.56
0.9079299999999999,2.0742,82.58
0.90641,2.0747,82.60000000000001
0.9049,2.0752,82.62
0.9034,2.0757,82.64
0.90189,2.0762,82.66
0.9004,2.0767,82.68
0.89891,2.0771,82.7
0.8974200000000001,2.0775,82.72
0.89594,2.0780000000000003,82.74
0.8944700000000001,2.0784,82.76
0.8930100000000001,2.0788,82.78
0.89155,2.0791,82.8
0.8901,2.0795,82.82000000000001
0.88865,2.0798,82.84
0.88721,2.0801,82.86
0.8857799999999999,2.0805,82.88
0.88436,2.0807,82.9
0.88295,2.081,82.92
0.88154,2.0813,82.94
0.8801399999999999,2.0815,82.96000000000001
0.87875,2.0817,82.98
0.8773700000000001,2.0819,83.0
0.8759999999999999,2.0821,83.02
0.87464,2.0823,83.04
0.87328,2.0824,83.06
0.8719399999999999,2.0826,83.08
0.87061,2.0827,83.10000000000001
0.8692799999999999,2.0828,83.12
0.86797,2.0829,83.14
0.86666,2.083,83.16
0.8653700000000001,2.083,83.18
0.86408,2.083,83.2
0.8628100000000001,2.0831,83.22
0.86155,2.0831,83.24
0.8603,2.083,83.26
0.85906,2.083,83.28
0.85783,2.083,83.3
0.85662,2.0829,83.32000000000001
0.85541,2.0828,83.34
0.8542200000000001,2.0827,83.36
0.8530399999999999,2.0826,83.38
0.8518700000000001,2.0824,83.4
0.85072,2.0823,83.42
0.8495799999999999,2.0821,83.44
0.84845,2.0819,83.46000000000001
0.8473299999999999,2.0817,83.48
0.8462299999999999,2.0815,83.5
0.8451299999999999,2.0813,83.52
0.84406,2.081,83.54
0.84299,2.0808,83.56
0.8419399999999999,2.0805,83.58
0.84091,2.0802,83.60000000000001
0.8398899999999999,2.0798,83.62
0.83888,2.0795,83.64
0.8378899999999999,2.0791,83.66
0.83691,2.0788,83.68
0.83594,2.0784,83.7
0.83499,2.0780000000000003,83.72
0.83406,2.0776,83.74
0.83314,2.0771,83.76
0.8322299999999999,2.0767,83.78
0.83135,2.0762,83.8
0.83047,2.0757,83.82000000000001
0.8296100000000001,2.0752,83.84
0.8287700000000001,2.0747,83.86
0.82794,2.0742,83.88
0.8271299999999999,2.0736,83.9
0.8263299999999999,2.0731,83.92
0.82555,2.0725,83.94
0.8247899999999999,2.0719,83.96000000000001
0.82404,2.0713,83.98
0.82331,2.0706,84.0
0.8225899999999999,2.07,84.02
0.82189,2.0693,84.04
0.82121,2.0687,84.06
0.82055,2.068,84.08
0.8199,2.0673,84.10000000000001
0.81926,2.0666,84.12
0.81865,2.0658,84.14
0.81805,2.0651,84.16
0.81747,2.0643,84.18
0.8169,2.0635,84.2
0.81635,2.0627,84.22
0.81582,2.0619,84.24
0.8153100000000001,2.0611,84.26
0.81481,2.0603,84.28
0.81433,2.0594,84.3
0.81387,2.0586,84.32000000000001
0.81342,2.0577,84.34
0.813,2.0568,84.36
0.8125899999999999,2.0559,84.38
0.81219,2.055,84.4
0.81182,2.0540000000000003,84.42
0.8114600000000001,2.0531,84.44
0.81112,2.0521,84.46000000000001
0.8108,2.0512,84.48
0.8104899999999999,2.0502,84.5
0.81021,2.0492,84.52
0.80994,2.0482,84.54
0.8096800000000001,2.0471,84.56
0.80945,2.0461,84.58
0.80923,2.045,84.60000000000001
0.80903,2.044,84.62
0.80885,2.0429,84.64
0.8086899999999999,2.0418,84.66
0.8085399999999999,2.0407,84.68
0.8084100000000001,2.0396,84.7
0.8083,2.0385,84.72
0.8082,2.0374,84.74
0.80813,2.0362,84.76
0.80807,2.0351,84.78
0.80803,2.0339,84.8
0.8079999999999999,2.0327,84.82000000000001
0.8079999999999999,2.0315,84.84
0.80801,2.0303,84.86
0.80804,2.0291,84.88
0.80808,2.0279,84.9
0.80814,2.0267,84.92
0.80823,2.0254,84.94
0.8083199999999999,2.0242,84.96000000000001
0.8084399999999999,2.0229,84.98
0.80857,2.0216,85.0
0.80872,2.0204,85.02
0.80888,2.0191,85.04
0.80907,2.0178,85.06
0.8092699999999999,2.0165,85.08
0.80948,2.0151,85.10000000000001
0.80972,2.0138,85.12
0.80997,2.0125,85.14
0.81023,2.0111,85.16
0.81052,2.0098,85.18
0.81082,2.0084,85.2
0.81114,2.0071,85.22
0.81147,2.0057,85.24
0.81182,2.0043,85.26
0.81218,2.0029,85.28
0.81257,2.0015,85.3
0.81296,2.0001,85.32000000000001
0.81338,1.9987,85.34
0.81381,1.9973,85.36
0.81425,1.9958,85.38
0.81471,1.9944,85.4
0.81519,1.9929,85.42
0.8156800000000001,1.9915,85.44
