theta1,theta2
1.3253,2.0838
1.3211,2.0815
1.317,2.0791
1.3129,2.0766
1.3089,2.0742
1.3049,2.0716
1.301,2.0691
1.2971,2.0665
1.2932,2.0639
1.2895,2.0612
1.2857,2.0585
1.282,2.0557
1.2784,2.053
1.2748,2.0501
1.2712,2.0473
1.2677,2.0444
1.2643,2.0414
1.2609,2.0384
1.2575,2.0354
1.2542,2.0324
1.2509,2.0293
1.2477,2.0262
1.2445,2.023
1.2414,2.0198
1.2383,2.0165
1.2353,2.0133
1.2323,2.01
1.2294,2.0066
1.2265,2.0032
1.2236,1.9998
1.2209,1.9963
1.2181,1.9928
1.2154,1.9893
1.2127,1.9857
1.2101,1.9821
1.2076,1.9785
1.2051,1.9748
1.2026,1.9711
1.2002,1.9674
1.1978,1.9636
1.1954,1.9598
1.1931,1.9559
1.1909,1.952
1.1887,1.9481
1.1866,1.9442
1.1844,1.9402
1.1824,1.9362
1.1804,1.9321
1.1784,1.928
1.1765,1.9239
1.1746,1.9197
1.1727,1.9155
1.1709,1.9113
1.1692,1.907
1.1675,1.9027
1.1658,1.8984
1.1642,1.894
1.1626,1.8897
1.161,1.8852
1.1595,1.8808
1.1581,1.8763
1.1567,1.8717
1.1553,1.8672
1.154,1.8626
1.1527,1.858
1.1515,1.8533
1.1503,1.8486
1.1491,1.8439
1.148,1.8391
1.1469,1.8343
1.1459,1.8295
1.1449,1.8246
1.1439,1.8197
1.143,1.8148
1.1422,1.8098
1.1413,1.8049
1.1405,1.7998
1.1398,1.7948
1.1391,1.7897
1.1384,1.7846
1.1378,1.7794
1.1372,1.7742
1.1366,1.769
1.1361,1.7637
1.1357,1.7584
1.1352,1.7531
1.1348,1.7478
1.1345,1.7424
1.1342,1.737
1.1339,1.7315
1.1337,1.726
1.1335,1.7205
1.1333,1.7149
1.1332,1.7093
1.1331,1.7037
1.1331,1.6981
1.1331,1.6924
1.1331,1.6866
1.1332,1.6809
1.1333,1.6751
1.1334,1.6693
1.1336,1.6634
1.1338,1.6575
1.1341,1.6516
1.1344,1.6456
1.1347,1.6396
1.1351,1.6336
1.1355,1.6275
1.1359,1.6214
1.1364,1.6152
1.1369,1.609
1.1375,1.6028
1.1381,1.5966
1.1387,1.5903
1.1394,1.5839
1.1401,1.5776
1.1409,1.5712
1.1416,1.5647
1.1425,1.5582
1.1433,1.5517
1.1442,1.5452
1.1452,1.5386
1.1461,1.5319
1.1471,1.5253
1.1482,1.5185
1.1493,1.5118
1.1504,1.505
1.1515,1.4982
1.1527,1.4913
1.154,1.4844
1.1553,1.4774
1.1566,1.4704
1.1579,1.4633
1.1593,1.4562
1.1607,1.4491
1.1622,1.4419
1.1637,1.4347
1.1652,1.4274
1.1668,1.4201
1.1684,1.4128
1.1701,1.4053
1.1718,1.3979
1.1735,1.3904
1.1753,1.3828
1.1771,1.3752
1.179,1.3676
1.1809,1.3599
1.1828,1.3521
1.1848,1.3443
1.1869,1.3364
1.1889,1.3285
1.191,1.3205
1.1932,1.3125
1.1954,1.3044
1.1976,1.2963
1.1999,1.2881
1.2022,1.2798
1.2046,1.2715
1.207,1.2632
1.2095,1.2547
1.2095,1.2547
1.2036,1.2652
1.1978,1.2756
1.1921,1.286
1.1864,1.2962
1.1807,1.3064
1.175,1.3166
1.1694,1.3267
1.1638,1.3367
1.1582,1.3466
1.1527,1.3565
1.1472,1.3663
1.1417,1.3761
1.1363,1.3858
1.1308,1.3955
1.1254,1.405
1.1201,1.4146
1.1147,1.4241
1.1094,1.4335
1.1041,1.4429
1.0988,1.4523
1.0936,1.4615
1.0884,1.4708
1.0832,1.48
1.078,1.4891
1.0728,1.4982
1.0677,1.5073
1.0625,1.5163
1.0574,1.5253
1.0523,1.5342
1.0473,1.5431
1.0422,1.552
1.0372,1.5608
1.0322,1.5696
1.0272,1.5783
1.0222,1.587
1.0172,1.5957
1.0122,1.6043
1.0073,1.6129
1.0024,1.6215
0.99746,1.63
0.99256,1.6385
0.98768,1.647
0.98281,1.6554
0.97795,1.6638
0.9731,1.6721
0.96826,1.6805
0.96344,1.6888
0.95863,1.697
0.95383,1.7053
0.94904,1.7135
0.94426,1.7217
0.93949,1.7298
0.93473,1.738
0.92998,1.7461
0.92524,1.7541
0.92051,1.7622
0.91578,1.7702
0.91107,1.7782
0.90636,1.7862
0.90166,1.7941
0.89697,1.802
0.89229,1.8099
0.88761,1.8178
0.88294,1.8257
0.87828,1.8335
0.87362,1.8413
0.86897,1.8491
0.86432,1.8568
0.85968,1.8646
0.85504,1.8723
0.85041,1.88
0.84579,1.8876
0.84116,1.8953
0.83655,1.9029
0.83193,1.9105
0.82732,1.9181
0.82271,1.9257
0.81811,1.9333
0.81351,1.9408
0.80891,1.9483
0.80431,1.9558
0.79972,1.9633
0.79513,1.9708
0.79053,1.9782
0.78594,1.9856
0.78135,1.993
0.77677,2.0004
0.77218,2.0078
0.76759,2.0152
0.763,2.0225
