theta1,theta2
0.53438,2.0652
0.53602,2.0622
0.53768,2.0592
0.53936,2.0562
0.54105,2.0532
0.54277,2.0501
0.5445,2.0471
0.54625,2.044
0.54802,2.041
0.54981,2.0379
0.55161,2.0349
0.55343,2.0318
0.55527,2.0288
0.55713,2.0257
0.559,2.0226
0.56089,2.0196
0.56279,2.0165
0.56471,2.0134
0.56665,2.0103
0.5686,2.0073
0.57057,2.0042
0.57255,2.0011
0.57455,1.998
0.57656,1.9949
0.57859,1.9918
0.58064,1.9887
0.58269,1.9856
0.58477,1.9825
0.58685,1.9794
0.58895,1.9763
0.59107,1.9732
0.5932,1.9701
0.59534,1.967
0.59749,1.9638
0.59966,1.9607
0.60184,1.9576
0.60404,1.9545
0.60624,1.9514
0.60846,1.9483
0.6107,1.9452
0.61294,1.942
0.6152,1.9389
0.61746,1.9358
0.61974,1.9327
0.62204,1.9296
0.62434,1.9264
0.62665,1.9233
0.62898,1.9202
0.63132,1.9171
0.63366,1.914
0.63602,1.9109
0.63839,1.9077
0.64077,1.9046
0.64316,1.9015
0.64556,1.8984
0.64796,1.8953
0.65038,1.8922
0.65281,1.8891
0.65525,1.886
0.6577,1.8829
0.66015,1.8798
0.66262,1.8767
0.66509,1.8736
0.66758,1.8705
0.67007,1.8674
0.67257,1.8643
0.67508,1.8612
0.6776,1.8581
0.68012,1.855
0.68265,1.8519
0.6852,1.8488
0.68774,1.8457
0.6903,1.8427
0.69286,1.8396
0.69543,1.8365
0.69801,1.8335
0.7006,1.8304
0.70319,1.8273
0.70579,1.8243
0.70839,1.8212
0.71101,1.8182
0.71362,1.8151
0.71625,1.8121
0.71888,1.809
0.72152,1.806
0.72416,1.803
0.72681,1.8
0.72946,1.7969
0.73212,1.7939
0.73479,1.7909
0.73746,1.7879
0.74013,1.7849
0.74281,1.7819
0.7455,1.7789
0.74819,1.7759
0.75088,1.7729
0.75358,1.77
0.75628,1.767
0.75899,1.764
0.7617,1.7611
0.76442,1.7581
0.76714,1.7552
0.76986,1.7522
0.77259,1.7493
0.77532,1.7463
0.77806,1.7434
0.7808,1.7405
0.78354,1.7376
0.78628,1.7347
0.78903,1.7318
0.79178,1.7289
0.79454,1.726
0.79729,1.7231
0.80005,1.7202
0.80281,1.7174
0.80558,1.7145
0.80834,1.7117
0.81111,1.7088
0.81388,1.706
0.81665,1.7031
0.81943,1.7003
0.8222,1.6975
0.82498,1.6947
0.82776,1.6919
0.83054,1.6891
0.83332,1.6863
0.83611,1.6836
0.83889,1.6808
0.84168,1.678
0.84446,1.6753
0.84725,1.6725
0.85004,1.6698
0.85282,1.6671
0.85561,1.6644
0.8584,1.6617
0.86119,1.659
0.86398,1.6563
0.86677,1.6536
0.86956,1.6509
0.87235,1.6483
0.87514,1.6456
0.87793,1.643
0.88072,1.6403
0.88351,1.6377
0.8863,1.6351
0.88908,1.6325
0.89187,1.6299
0.89466,1.6273
0.89744,1.6247
0.90023,1.6222
0.90301,1.6196
0.90579,1.6171
0.90857,1.6146
0.91135,1.612
0.91413,1.6095
0.9169,1.607
0.91967,1.6045
0.92245,1.6021
0.92522,1.5996
0.92798,1.5971
0.93075,1.5947
0.93351,1.5923
0.93628,1.5898
0.93904,1.5874
0.94179,1.585
0.94455,1.5827
0.9473,1.5803
0.95005,1.5779
0.95279,1.5756
0.95554,1.5732
0.95828,1.5709
0.96101,1.5686
0.96375,1.5663
0.96648,1.564
0.96921,1.5617
0.97193,1.5595
0.97465,1.5572
0.97737,1.555
0.98008,1.5527
0.98279,1.5505
0.9855,1.5483
0.9882,1.5462
0.9909,1.544
0.99359,1.5418
0.99628,1.5397
0.99897,1.5375
1.0016,1.5354
1.0043,1.5333
1.007,1.5312
1.0097,1.5292
1.0123,1.5271
1.015,1.525
1.0176,1.523
1.0203,1.521
1.0229,1.519
1.0256,1.517
1.0282,1.515
1.0308,1.5131
1.0334,1.5111
1.0361,1.5092
1.0387,1.5073
1.0413,1.5054
1.0439,1.5035
1.0465,1.5016
