theta1,theta2
1.1546,1.4808
1.1551,1.478
1.1557,1.4752
1.1562,1.4724
1.1567,1.4696
1.1572,1.4668
1.1578,1.464
1.1583,1.4612
1.1589,1.4584
1.1594,1.4556
1.16,1.4527
1.1606,1.4499
1.1612,1.447
1.1617,1.4441
1.1623,1.4413
1.1629,1.4384
1.1635,1.4355
1.1641,1.4326
1.1647,1.4297
1.1654,1.4268
1.166,1.4239
1.1666,1.421
1.1673,1.4181
1.1679,1.4151
1.1686,1.4122
1.1692,1.4093
1.1699,1.4063
1.1706,1.4033
1.1712,1.4004
1.1719,1.3974
1.1726,1.3944
1.1733,1.3914
1.174,1.3884
1.1747,1.3854
1.1754,1.3824
1.1761,1.3793
1.1769,1.3763
1.1776,1.3733
1.1784,1.3702
1.1791,1.3672
1.1799,1.3641
1.1806,1.361
1.1814,1.3579
1.1822,1.3549
1.1829,1.3518
1.1837,1.3486
1.1845,1.3455
1.1853,1.3424
1.1861,1.3393
1.1869,1.3361
1.1877,1.333
1.1886,1.3298
1.1894,1.3267
1.1902,1.3235
1.1911,1.3203
1.1919,1.3171
1.1928,1.3139
1.1937,1.3107
1.1945,1.3075
1.1954,1.3043
1.1963,1.301
1.1972,1.2978
1.1981,1.2945
1.199,1.2913
1.1999,1.288
1.2009,1.2847
1.2018,1.2814
1.2027,1.2781
1.2037,1.2748
1.2046,1.2715
1.2056,1.2681
1.2065,1.2648
1.2075,1.2614
1.2085,1.2581
1.2095,1.2547
1.2095,1.2547
1.2071,1.2589
1.2048,1.2631
1.2025,1.2672
1.2002,1.2714
1.1979,1.2755
1.1956,1.2797
1.1933,1.2838
1.191,1.2879
1.1887,1.292
1.1864,1.2961
1.1842,1.3002
1.1819,1.3042
1.1796,1.3083
1.1774,1.3123
1.1751,1.3164
1.1729,1.3204
1.1707,1.3244
1.1684,1.3284
1.1662,1.3324
1.164,1.3364
1.1617,1.3403
1.1595,1.3443
1.1573,1.3483
1.1551,1.3522
1.1529,1.3561
1.1507,1.3601
1.1485,1.364
1.1463,1.3679
1.1441,1.3718
1.142,1.3756
1.1398,1.3795
1.1376,1.3834
1.1354,1.3873
1.1333,1.3911
1.1311,1.3949
1.129,1.3988
1.1268,1.4026
1.1247,1.4064
1.1225,1.4102
1.1204,1.414
1.1183,1.4178
1.1161,1.4216
1.114,1.4254
1.1119,1.4291
1.1098,1.4329
1.1077,1.4366
1.1055,1.4404
1.1034,1.4441
1.1013,1.4478
1.0992,1.4516
1.0971,1.4553
1.095,1.459
1.093,1.4627
1.0909,1.4663
1.0888,1.47
1.0867,1.4737
1.0846,1.4774
1.0826,1.481
1.0805,1.4847
1.0784,1.4883
1.0764,1.492
1.0743,1.4956
1.0723,1.4992
1.0702,1.5028
1.0682,1.5064
1.0661,1.51
1.0641,1.5136
1.062,1.5172
1.06,1.5208
1.058,1.5244
1.0559,1.5279
1.0539,1.5315
1.0519,1.535
1.0499,1.5386
1.0478,1.5421
1.0458,1.5457
1.0438,1.5492
1.0418,1.5527
1.0398,1.5562
1.0378,1.5598
1.0358,1.5633
1.0338,1.5668
1.0318,1.5702
1.0298,1.5737
1.0278,1.5772
1.0258,1.5807
1.0238,1.5842
1.0218,1.5876
1.0198,1.5911
1.0179,1.5945
1.0159,1.598
1.0139,1.6014
1.0119,1.6048
1.01,1.6083
1.008,1.6117
1.006,1.6151
1.0041,1.6185
1.0021,1.6219
1.0002,1.6253
0.9982,1.6287
0.99624,1.6321
0.99429,1.6355
0.99234,1.6389
0.99039,1.6423
0.98845,1.6456
0.9865,1.649
0.98456,1.6523
0.98262,1.6557
0.98068,1.659
0.97875,1.6624
0.97681,1.6657
0.97488,1.6691
0.97295,1.6724
0.97103,1.6757
0.9691,1.679
0.96717,1.6823
0.96525,1.6857
0.96333,1.689
0.96141,1.6923
0.9595,1.6955
0.95758,1.6988
0.95567,1.7021
0.95376,1.7054
0.95185,1.7087
0.94994,1.712
0.94803,1.7152
0.94613,1.7185
0.94422,1.7217
0.94232,1.725
0.94042,1.7282
0.93852,1.7315
0.93663,1.7347
0.93473,1.738
0.93284,1.7412
0.93094,1.7444
0.92905,1.7476
0.92716,1.7509
0.92527,1.7541
0.92339,1.7573
0.9215,1.7605
0.91962,1.7637
0.91774,1.7669
0.91585,1.7701
0.91397,1.7733
0.9121,1.7765
0.91022,1.7796
0.90834,1.7828
0.90647,1.786
0.90459,1.7892
0.90272,1.7923
0.90085,1.7955
0.89898,1.7986
0.89711,1.8018
0.89525,1.8049
0.89338,1.8081
0.89151,1.8112
0.88965,1.8144
0.88779,1.8175
0.88592,1.8206
0.88406,1.8238
0.8822,1.8269
0.88034,1.83
0.87849,1.8331
0.87663,1.8362
0.87477,1.8394
0.87292,1.8425
0.87106,1.8456
0.86921,1.8487
0.86736,1.8518
0.86551,1.8548
0.86366,1.8579
0.86181,1.861
0.85996,1.8641
0.85811,1.8672
0.85626,1.8702
0.85442,1.8733
0.85257,1.8764
0.85073,1.8795
0.84888,1.8825
0.84704,1.8856
0.8452,1.8886
0.84335,1.8917
0.84151,1.8947
0.83967,1.8978
0.83783,1.9008
0.83599,1.9038
0.83415,1.9069
0.83231,1.9099
0.83048,1.9129
0.82864,1.916
0.8268,1.919
0.82497,1.922
0.82313,1.925
0.82129,1.928
0.81946,1.9311
0.81763,1.9341
0.81579,1.9371
0.81396,1.9401
0.81213,1.9431
0.81029,1.9461
0.80846,1.9491
0.80663,1.952
0.8048,1.955
0.80297,1.958
0.80113,1.961
0.7993,1.964
0.79747,1.9669
0.79564,1.9699
0.79381,1.9729
0.79198,1.9759
0.79015,1.9788
0.78832,1.9818
0.7865,1.9847
0.78467,1.9877
0.78284,1.9906
0.78101,1.9936
0.77918,1.9965
0.77735,1.9995
0.77552,2.0024
0.77369,2.0054
0.77187,2.0083
0.77004,2.0112
0.76821,2.0142
0.76638,2.0171
0.76455,2.02
0.76272,2.023
0.7609,2.0259
0.75907,2.0288
0.75724,2.0317
0.75541,2.0346
0.75358,2.0375
0.75175,2.0404
0.74992,2.0434
0.74809,2.0463
0.74626,2.0492
0.74443,2.0521
0.7426,2.055
0.74077,2.0579
0.73894,2.0607
0.73711,2.0636
0.73528,2.0665
0.73345,2.0694
0.73161,2.0723
0.72978,2.0752
0.72795,2.0781
0.72612,2.0809
0.72428,2.0838
0.72245,2.0867
0.72061,2.0895
0.71878,2.0924
0.71694,2.0953
0.71511,2.0981
0.71327,2.101
0.71143,2.1039
0.70959,2.1067
0.70776,2.1096
0.70592,2.1124
0.70408,2.1153
0.70224,2.1181
0.7004,2.121
0.69855,2.1238
0.69671,2.1266
0.69487,2.1295
0.69302,2.1323
0.69118,2.1352
0.68933,2.138
0.68749,2.1408
0.68564,2.1437
0.68379,2.1465
0.68194,2.1493
0.68009,2.1521
0.67824,2.155
0.67639,2.1578
0.67454,2.1606
0.67268,2.1634
0.67083,2.1662
0.66897,2.169
0.66712,2.1718
0.66526,2.1746
0.6634,2.1775
0.66154,2.1803
0.65968,2.1831
0.65781,2.1859
0.65595,2.1887
0.65409,2.1915
0.65222,2.1943
0.65035,2.197
0.64848,2.1998
0.64661,2.2026
0.64474,2.2054
0.64287,2.2082
0.64099,2.211
0.63912,2.2138
0.63724,2.2165
0.63536,2.2193
0.63348,2.2221
0.6316,2.2249
0.62972,2.2277
0.62783,2.2304
0.62595,2.2332
0.62406,2.236
0.62217,2.2387
0.62028,2.2415
0.61839,2.2443
0.61649,2.247
0.61459,2.2498
0.6127,2.2526
0.6108,2.2553
0.60889,2.2581
0.60699,2.2608
0.60509,2.2636
0.60318,2.2663
0.60127,2.2691
0.59936,2.2718
0.59744,2.2746
0.59553,2.2773
0.59361,2.2801
0.59169,2.2828
0.58977,2.2856
0.58784,2.2883
0.58592,2.291
0.58399,2.2938
0.58206,2.2965
0.58012,2.2992
0.57819,2.302
0.57625,2.3047
0.57431,2.3074
0.57237,2.3102
0.57042,2.3129
0.56848,2.3156
0.56653,2.3183
0.56457,2.3211
0.56262,2.3238
0.56066,2.3265
0.5587,2.3292
0.55674,2.3319
0.55477,2.3347
0.5528,2.3374
0.55083,2.3401
0.54885,2.3428
0.54688,2.3455
0.54489,2.3482
0.54291,2.3509
0.54092,2.3537
0.53893,2.3564
0.53694,2.3591
0.53495,2.3618
0.53295,2.3645
0.53094,2.3672
0.52894,2.3699
0.52693,2.3726
0.52492,2.3753
0.5229,2.378
0.52088,2.3807
0.51886,2.3834
0.51683,2.3861
0.5148,2.3888
0.51277,2.3915
0.51073,2.3941
0.50869,2.3968
0.50664,2.3995
0.5046,2.4022
0.50254,2.4049
0.50049,2.4076
0.49842,2.4103
0.49636,2.413
0.49429,2.4156
0.49222,2.4183
0.49014,2.421
0.48806,2.4237
0.48597,2.4264
0.48388,2.4291
0.48179,2.4317
0.47969,2.4344
0.47758,2.4371
0.47548,2.4398
0.47336,2.4424
0.47124,2.4451
0.46912,2.4478
0.46699,2.4505
0.46486,2.4531
0.46272,2.4558
0.46058,2.4585
0.45843,2.4611
0.45628,2.4638
0.45412,2.4665
0.45196,2.4691
0.44979,2.4718
0.44761,2.4745
0.44543,2.4771
0.44325,2.4798
0.44106,2.4825
0.43886,2.4851
0.43666,2.4878
0.43445,2.4905
0.43223,2.4931
0.43001,2.4958
0.42778,2.4984
0.42555,2.5011
0.42555,2.5011
0.4296,2.4989
0.43364,2.4967
0.43766,2.4945
0.44166,2.4924
0.44565,2.4902
0.44963,2.488
0.45359,2.4857
0.45754,2.4835
0.46147,2.4813
0.46539,2.4791
0.4693,2.4769
0.47319,2.4747
0.47706,2.4724
0.48093,2.4702
0.48477,2.468
0.48861,2.4657
0.49243,2.4635
0.49624,2.4613
0.50003,2.459
0.50382,2.4568
0.50759,2.4545
0.51134,2.4523
0.51508,2.45
0.51881,2.4477
0.52253,2.4455
0.52623,2.4432
0.52993,2.4409
0.5336,2.4387
0.53727,2.4364
0.54093,2.4341
0.54457,2.4318
0.5482,2.4295
0.55182,2.4272
0.55542,2.4249
0.55902,2.4226
0.5626,2.4203
0.56617,2.418
0.56973,2.4157
0.57328,2.4134
0.57681,2.4111
0.58034,2.4088
0.58385,2.4065
0.58735,2.4042
0.59084,2.4018
