theta1,theta2
1.0464,1.8072
1.049,1.8058
1.0516,1.8043
1.0543,1.8029
1.0569,1.8014
1.0595,1.7999
1.0621,1.7985
1.0647,1.797
1.0674,1.7955
1.07,1.794
1.0726,1.7925
1.0752,1.791
1.0778,1.7895
1.0804,1.7879
1.0831,1.7864
1.0857,1.7849
1.0883,1.7834
1.0909,1.7818
1.0935,1.7803
1.0962,1.7787
1.0988,1.7772
1.1014,1.7756
1.104,1.774
1.1066,1.7725
1.1092,1.7709
1.1119,1.7693
1.1145,1.7677
1.1171,1.7661
1.1197,1.7645
1.1223,1.7629
1.1249,1.7613
1.1276,1.7597
1.1302,1.758
1.1328,1.7564
1.1354,1.7548
1.138,1.7531
1.1406,1.7515
1.1433,1.7498
1.1459,1.7482
1.1485,1.7465
1.1511,1.7448
1.1537,1.7432
1.1563,1.7415
1.1589,1.7398
1.1616,1.7381
1.1642,1.7364
1.1668,1.7347
1.1694,1.733
1.172,1.7313
1.1746,1.7295
1.1772,1.7278
1.1799,1.7261
1.1825,1.7243
1.1851,1.7226
1.1877,1.7208
1.1903,1.7191
1.1929,1.7173
1.1955,1.7156
1.1981,1.7138
1.2008,1.712
1.2034,1.7102
1.206,1.7084
1.2086,1.7066
1.2112,1.7048
1.2138,1.703
1.2164,1.7012
1.219,1.6994
1.2216,1.6976
1.2243,1.6958
1.2269,1.6939
1.2295,1.6921
1.2321,1.6902
1.2347,1.6884
1.2373,1.6865
1.2399,1.6847
1.2425,1.6828
1.2451,1.6809
1.2451,1.6809
1.2427,1.6841
1.2402,1.6872
1.2378,1.6903
1.2353,1.6934
1.2329,1.6965
1.2305,1.6996
1.228,1.7027
1.2256,1.7058
1.2231,1.7089
1.2207,1.712
1.2182,1.7151
1.2158,1.7181
1.2133,1.7212
1.2109,1.7243
1.2084,1.7273
1.206,1.7304
1.2035,1.7334
1.201,1.7365
1.1986,1.7395
1.1961,1.7425
1.1937,1.7456
1.1912,1.7486
1.1888,1.7516
1.1863,1.7546
1.1839,1.7577
1.1814,1.7607
1.1789,1.7637
1.1765,1.7667
1.174,1.7697
1.1716,1.7727
1.1691,1.7757
1.1666,1.7786
1.1642,1.7816
1.1617,1.7846
1.1592,1.7876
1.1568,1.7905
1.1543,1.7935
1.1518,1.7964
1.1494,1.7994
1.1469,1.8024
1.1444,1.8053
1.1419,1.8082
1.1395,1.8112
1.137,1.8141
1.1345,1.817
1.132,1.82
1.1295,1.8229
1.1271,1.8258
1.1246,1.8287
1.1221,1.8316
1.1196,1.8345
1.1171,1.8374
1.1146,1.8403
1.1121,1.8432
1.1096,1.8461
1.1072,1.849
1.1047,1.8519
1.1022,1.8547
1.0997,1.8576
1.0972,1.8605
1.0947,1.8634
1.0922,1.8662
1.0896,1.8691
1.0871,1.8719
1.0846,1.8748
1.0821,1.8776
1.0796,1.8805
1.0771,1.8833
1.0746,1.8861
1.0721,1.889
1.0695,1.8918
1.067,1.8946
1.0645,1.8974
1.062,1.9003
1.0594,1.9031
1.0569,1.9059
1.0544,1.9087
1.0518,1.9115
1.0493,1.9143
1.0468,1.9171
1.0442,1.9199
1.0417,1.9227
1.0391,1.9254
1.0366,1.9282
1.034,1.931
1.0315,1.9338
1.0289,1.9365
1.0263,1.9393
1.0238,1.9421
1.0212,1.9448
1.0187,1.9476
1.0161,1.9503
1.0135,1.9531
1.0109,1.9558
1.0084,1.9586
1.0058,1.9613
1.0032,1.964
1.0006,1.9668
0.99803,1.9695
0.99544,1.9722
0.99285,1.9749
0.99025,1.9777
0.98766,1.9804
0.98505,1.9831
0.98245,1.9858
0.97984,1.9885
0.97723,1.9912
0.97462,1.9939
0.972,1.9966
0.96938,1.9993
0.96676,2.002
0.96413,2.0047
0.9615,2.0073
0.95887,2.01
0.95623,2.0127
0.95359,2.0154
0.95095,2.018
0.94831,2.0207
0.94566,2.0233
0.943,2.026
0.94035,2.0287
0.93769,2.0313
0.93502,2.034
0.93236,2.0366
0.92969,2.0392
0.92701,2.0419
0.92434,2.0445
0.92165,2.0471
0.91897,2.0498
0.91628,2.0524
0.91359,2.055
0.91089,2.0576
0.90819,2.0603
0.90549,2.0629
0.90278,2.0655
0.90007,2.0681
0.89735,2.0707
0.89463,2.0733
0.89191,2.0759
0.88918,2.0785
0.88645,2.0811
0.88371,2.0837
0.88097,2.0862
0.87823,2.0888
0.87548,2.0914
0.87273,2.094
0.86997,2.0965
0.86721,2.0991
0.86444,2.1017
0.86167,2.1042
0.85889,2.1068
0.85611,2.1093
0.85333,2.1119
0.85054,2.1144
0.84775,2.117
0.84495,2.1195
0.84215,2.1221
0.83934,2.1246
0.83653,2.1271
0.83371,2.1297
0.83089,2.1322
0.82806,2.1347
0.82523,2.1372
0.82239,2.1398
0.81955,2.1423
0.8167,2.1448
0.81385,2.1473
0.81099,2.1498
0.80813,2.1523
0.80526,2.1548
0.80239,2.1573
0.79951,2.1598
0.79663,2.1623
0.79374,2.1648
0.79085,2.1672
0.78795,2.1697
0.78504,2.1722
0.78213,2.1747
0.77921,2.1771
0.77629,2.1796
0.77336,2.1821
0.77043,2.1845
0.76749,2.187
0.76455,2.1894
0.7616,2.1919
0.75864,2.1943
0.75568,2.1968
0.75271,2.1992
0.74974,2.2017
0.74676,2.2041
0.74377,2.2065
0.74078,2.209
0.73778,2.2114
0.73477,2.2138
0.73176,2.2162
0.72874,2.2187
0.72572,2.2211
0.72269,2.2235
0.71965,2.2259
0.71965,2.2259
0.72129,2.2231
0.72292,2.2204
0.72456,2.2176
0.72619,2.2148
0.72782,2.212
0.72946,2.2093
0.73109,2.2065
0.73273,2.2037
0.73436,2.2009
0.736,2.1981
0.73763,2.1953
0.73926,2.1926
0.7409,2.1898
0.74253,2.187
0.74417,2.1842
0.7458,2.1814
0.74744,2.1786
0.74907,2.1758
0.7507,2.173
0.75234,2.1702
0.75397,2.1674
0.75561,2.1646
0.75724,2.1618
0.75888,2.159
0.76051,2.1561
0.76215,2.1533
0.76378,2.1505
0.76542,2.1477
0.76706,2.1449
0.76869,2.142
0.77033,2.1392
0.77196,2.1364
0.7736,2.1336
0.77524,2.1307
0.77688,2.1279
0.77851,2.1251
0.78015,2.1222
0.78179,2.1194
0.78343,2.1165
0.78507,2.1137
0.78671,2.1109
0.78835,2.108
0.78999,2.1052
0.79163,2.1023
0.79327,2.0994
0.79491,2.0966
0.79655,2.0937
0.7982,2.0909
0.79984,2.088
0.80148,2.0851
0.80312,2.0823
0.80477,2.0794
0.80641,2.0765
0.80806,2.0737
0.8097,2.0708
0.81135,2.0679
0.813,2.065
0.81465,2.0621
0.81629,2.0592
0.81794,2.0563
0.81959,2.0535
0.82124,2.0506
0.82289,2.0477
0.82454,2.0448
0.82619,2.0419
0.82785,2.039
0.8295,2.0361
0.83115,2.0331
0.83281,2.0302
0.83446,2.0273
