theta1,theta2
0.5706,2.2378
0.56769,2.2448
0.5648,2.2519
0.56193,2.2589
0.55907,2.2659
0.55624,2.2729
0.55342,2.2799
0.55063,2.2868
0.54785,2.2938
0.5451,2.3007
0.54237,2.3076
0.53965,2.3145
0.53696,2.3214
0.53429,2.3283
0.53164,2.3352
0.52902,2.342
