theta1,theta2
1.0152,2.3157
1.0189,2.3137
1.0227,2.3117
1.0264,2.3097
1.0301,2.3077
1.0338,2.3056
1.0374,2.3036
1.0411,2.3015
1.0448,2.2995
1.0485,2.2974
1.0521,2.2954
1.0557,2.2933
1.0594,2.2912
1.063,2.2891
1.0666,2.2871
1.0703,2.285
1.0739,2.2829
1.0775,2.2808
1.0811,2.2787
1.0846,2.2766
1.0882,2.2744
1.0918,2.2723
1.0953,2.2702
1.0989,2.2681
1.1024,2.2659
1.106,2.2638
1.1095,2.2617
1.113,2.2595
1.1165,2.2574
1.1201,2.2552
1.1236,2.253
1.1271,2.2509
1.1305,2.2487
1.134,2.2465
1.1375,2.2443
1.141,2.2422
1.1444,2.24
1.1479,2.2378
1.1513,2.2356
1.1548,2.2334
1.1582,2.2312
1.1616,2.2289
1.165,2.2267
1.1684,2.2245
1.1718,2.2223
1.1752,2.22
1.1786,2.2178
1.182,2.2156
1.1854,2.2133
1.1887,2.2111
1.1921,2.2088
1.1955,2.2065
1.1988,2.2043
1.2022,2.202
1.2055,2.1997
1.2088,2.1975
1.2121,2.1952
1.2155,2.1929
1.2188,2.1906
1.2221,2.1883
1.2254,2.186
1.2287,2.1837
1.232,2.1814
1.2352,2.1791
1.2385,2.1768
1.2418,2.1744
1.245,2.1721
1.2483,2.1698
1.2515,2.1674
1.2548,2.1651
1.258,2.1628
1.2612,2.1604
1.2645,2.1581
1.2677,2.1557
1.2709,2.1533
1.2741,2.151
1.2773,2.1486
1.2805,2.1462
1.2805,2.1462
1.2813,2.1435
1.2821,2.1407
1.2829,2.138
1.2837,2.1352
1.2845,2.1325
1.2853,2.1297
1.2861,2.1269
1.287,2.1242
1.2878,2.1214
1.2886,2.1186
1.2895,2.1158
1.2903,2.1131
1.2911,2.1103
1.292,2.1075
1.2928,2.1047
1.2937,2.1019
1.2946,2.0991
1.2954,2.0963
1.2963,2.0935
1.2972,2.0907
1.2981,2.0879
1.299,2.0851
1.2999,2.0823
1.3007,2.0795
1.3016,2.0766
1.3026,2.0738
1.3035,2.071
1.3044,2.0682
1.3053,2.0653
1.3062,2.0625
1.3071,2.0596
1.3081,2.0568
1.309,2.0539
1.31,2.0511
1.3109,2.0482
1.3119,2.0454
1.3128,2.0425
1.3138,2.0397
1.3147,2.0368
1.3157,2.0339
1.3167,2.031
1.3176,2.0282
1.3186,2.0253
1.3196,2.0224
1.3206,2.0195
1.3216,2.0166
1.3226,2.0137
1.3236,2.0108
1.3246,2.0079
1.3256,2.005
1.3266,2.0021
1.3276,1.9992
1.3286,1.9963
1.3297,1.9934
1.3307,1.9905
1.3317,1.9875
1.3328,1.9846
1.3338,1.9817
1.3348,1.9787
1.3359,1.9758
1.337,1.9728
1.338,1.9699
1.3391,1.967
1.3401,1.964
1.3412,1.961
1.3423,1.9581
1.3434,1.9551
1.3444,1.9521
1.3455,1.9492
1.3466,1.9462
1.3477,1.9432
1.3488,1.9402
1.3499,1.9372
1.351,1.9343
1.3521,1.9313
1.3532,1.9283
1.3544,1.9253
1.3555,1.9223
1.3566,1.9192
1.3577,1.9162
1.3589,1.9132
1.36,1.9102
1.3611,1.9072
1.3623,1.9041
1.3634,1.9011
1.3646,1.8981
1.3657,1.895
1.3669,1.892
1.3681,1.8889
1.3692,1.8859
1.3704,1.8828
1.3716,1.8798
1.3728,1.8767
1.374,1.8736
1.3751,1.8706
1.3763,1.8675
1.3775,1.8644
1.3787,1.8613
1.3799,1.8582
1.3811,1.8551
1.3824,1.852
1.3836,1.8489
1.3848,1.8458
1.386,1.8427
1.3872,1.8396
1.3885,1.8365
1.3897,1.8334
1.3909,1.8303
1.3922,1.8271
1.3934,1.824
1.3947,1.8208
1.3959,1.8177
1.3972,1.8146
1.3985,1.8114
1.3997,1.8082
1.401,1.8051
1.4023,1.8019
1.4035,1.7987
1.4048,1.7956
1.4061,1.7924
1.4074,1.7892
1.4087,1.786
1.41,1.7828
1.4113,1.7796
1.4126,1.7764
1.4139,1.7732
1.4152,1.77
1.4165,1.7668
1.4179,1.7636
1.4192,1.7603
1.4205,1.7571
1.4218,1.7539
1.4232,1.7506
1.4245,1.7474
1.4259,1.7441
1.4272,1.7409
1.4286,1.7376
1.4299,1.7344
1.4313,1.7311
1.4327,1.7278
1.434,1.7245
1.4354,1.7212
1.4368,1.7179
1.4382,1.7147
1.4395,1.7113
1.4409,1.708
1.4423,1.7047
1.4437,1.7014
1.4451,1.6981
1.4465,1.6948
1.4479,1.6914
1.4493,1.6881
1.4508,1.6847
1.4522,1.6814
1.4536,1.678
1.455,1.6747
1.4565,1.6713
1.4579,1.6679
1.4594,1.6646
1.4608,1.6612
1.4623,1.6578
1.4637,1.6544
1.4652,1.651
1.4666,1.6476
1.4681,1.6442
1.4696,1.6408
1.4711,1.6374
1.4725,1.6339
1.474,1.6305
1.4755,1.627
1.477,1.6236
1.4785,1.6201
1.48,1.6167
1.4815,1.6132
1.483,1.6098
1.4845,1.6063
