t,theta_1,theta_2,omega_1,omega_2,f_torque1,f_torque2,c_torque1,c_torque2,e_theta1,e_theta2
0.5340456962585449,0.5702824155476431,2.0584195574058795,-0.27214813,0.029422421,0.47584534,-0.24225235,0,0,1.124093762261058,2.360252265845198
0.5579812526702881,0.5683491984989981,2.058064313723018,0.17066526,-0.01838781,0.39796472,-0.20307541,0,0,1.124093762261058,2.358718285057312
0.6048557758331299,0.5994530479100089,2.014822812868526,0.99017763,-1.0822549,2.0372086,-0.6448698,0,0,1.124093762261058,2.3525823619057697
0.6267969608306885,0.6199482242253165,1.9973123987449906,1.1972315,-1.2327603,1.1669952,-1.7413902,0,0,1.124093762261058,2.351048381117884
0.6547226905822754,0.6577963987973074,1.9611180742515824,1.214194,-0.959358,-0.14429152,-1.7167807,0,0,1.1302296854126004,2.349514400329998
0.6726739406585693,0.680924073853765,1.942097516848018,1.0635427,-0.6759968,-1.05254,-1.4970303,0,0,1.1317636662004862,2.349514400329998
0.7215442657470703,0.7162328521397452,1.9206450899376175,0.4018994,-0.2526215,-2.2228813,-1.5686893,0,0,1.2084627055947683,2.343378477178456
0.7375013828277588,0.7166117588665823,1.9206450899376175,0.39278537,-0.2526215,-2.2258937,-1.5686893,0,0,1.2161326095341964,2.343378477178456
0.7594418525695801,0.7200418869641165,1.916418405367305,-0.06689572,-0.07903557,-2.122687,-1.6008615,0,0,1.219200571109968,2.343378477178456
0.7953464984893799,0.709855274358068,1.900084348513057,-0.38565233,-0.43334374,-0.8292204,-1.4794874,0,0,1.228404455837282,2.343378477178456
0.8292555809020996,0.6950273076680045,1.883475633455684,-0.37319556,-0.32919875,0.1452303,-1.2871361,0,0,1.2422102829282524,2.343378477178456
0.8511970043182373,0.6884344379093985,1.8753751238121292,-0.20980865,-0.4380252,0.8482212,-1.3021374,0,0,1.2468122252919098,2.343378477178456
0.8771278858184814,0.6862739483502249,1.8678620775474808,-0.06858531,-0.5647969,1.3041228,-1.2581873,0,0,1.262152033170766,2.343378477178456
0.9020609855651855,0.6891568462040762,1.8505810220970413,0.27325004,-0.54748505,1.5424752,-1.1085463,0,0,1.280559802625394,2.343378477178456
0.9240021705627441,0.6941724578526358,1.8452943285240433,0.39808422,-0.27860266,1.3550001,-1.0982561,0,0,1.2912976681405928,2.343378477178456
0.9429874420166016,0.7018689076092581,1.8402150591148636,0.5322557,-0.37046525,1.1440849,-1.1349535,0,0,1.2958996105042502,2.343378477178456
0.9639303684234619,0.7153275767948966,1.8342307527794144,0.6481722,-0.27378848,0.79791546,-1.2420082,0,0,1.3020355336557925,2.343378477178456
0.9828801155090332,0.7304886142399649,1.8291905840172074,0.71418476,-0.21902369,0.41818798,-1.3173246,0,0,1.305103495231564,2.343378477178456
1.00382399559021,0.7414037148144583,1.8251274545921585,0.66399354,-0.22671947,0.08035898,-1.3524103,0,0,1.3081714568073348,2.343378477178456
1.0267622470855713,0.7551806728031973,1.820499273134639,0.5728474,-0.23106548,-0.13416111,-1.4310122,0,0,1.3127733991709922,2.343378477178456
1.0467092990875244,0.7650842229512076,1.8167394121422074,0.42829907,-0.18869518,-0.45011878,-1.476512,0,0,1.3173753415346487,2.343378477178456
1.0686509609222412,0.7745104591038565,1.8090017755760452,0.12853575,-0.28515583,-0.3785801,-1.5376949,0,0,1.3204433031104204,2.343378477178456
1.0885975360870361,0.7751853624966483,1.802937837435176,-0.011664156,-0.31053442,-0.11856079,-1.531496,0,0,1.3250452454740769,2.343378477178456
1.109541416168213,0.774060265221868,1.7946361025108597,-0.04477848,-0.3985974,0.13202071,-1.4300823,0,0,1.33118116862562,2.343378477178456
1.1314821243286133,0.7723893086102347,1.7876151521934769,-0.08220261,-0.4352691,0.5624211,-1.393199,0,0,1.3388510725650482,2.34184449639057
1.1484370231628418,0.7715506116536002,1.7796395738853714,-0.0060199574,-0.4081093,0.88635206,-1.3369751,0,0,1.3465209765044763,2.340310515602684
1.1743676662445068,0.7719535390522818,1.7708223779930374,0.038593583,-0.38952154,1.1291522,-1.3255692,0,0,1.3557248612317903,2.340310515602684
1.1963090896606445,0.7747230092671256,1.764607759310176,0.17260668,-0.34880337,1.2427145,-1.28788,0,0,1.366462726746989,2.3387765348147993
1.2142605781555176,0.7802889506008963,1.7581113298668167,0.27237326,-0.22019458,1.2218153,-1.3329458,0,0,1.3725986498985323,2.3387765348147993
1.2401916980743408,0.7852520505574088,1.7530888040794632,0.30018744,-0.32010183,1.2469703,-1.3035011,0,0,1.3787345730500746,2.3387765348147993
1.2780907154083252,0.7984005967762808,1.7422984560264847,0.35366708,-0.23247716,1.0377866,-1.2611008,0,0,1.3879384577773886,2.3387765348147993
1.3060154914855957,0.8092784444477896,1.7353628595604202,0.30400363,-0.17767152,0.8837652,-1.2927771,0,0,1.3956083617168167,2.3372425540269135
1.3249659538269043,0.8127951780941824,1.7338579614891312,0.24938512,-0.108472176,0.81903577,-1.3437939,0,0,1.4002103040804732,2.334174592451142
1.347902774810791,0.8170456449177603,1.7293208559288284,0.276517,-0.3231763,0.9466505,-1.3306522,0,0,1.401744284868359,2.332640611663256
1.3678505420684814,0.8204535404827933,1.7249921282066605,0.1763565,-0.34790143,1.1333412,-1.4033651,0,0,1.4078802080199022,2.3295726500874854
